,Drużyna,Sezon,Avg._posiadanie,Avg.strzały,Avg.strzały_celne,Avg.strzały_niecelne,Avg.strzały_zablokowane,Avg.rzuty_rożne,Avg.spalone,Avg.obrony_bramkarza,Avg.faule,Avg.Żółte_kartki,Avg.Czerwone_kartki,%_SFG
46,Radomiak Radom,21/22,50%,"13,06","4,21","5,24","3,62","5,38","1,53","2,79","13,38","2,12","0,12","42,86%"
47,Raków Częstochowa,21/22,50%,"13,65","5,62","5,26","2,76","6,15","1,74","2,59","13,65","2,29","0,12","41,67%"
48,Stal Mielec,21/22,45%,"10,29","3,68","4,15","2,47","4,44","1,65","3,44","11,68","2,26","0,09","51,28%"
49,Śląsk Wrocław,21/22,48%,"12,71","4,26","5,09","3,35","4,56","1,97","3,50","13,62","2,15","0,15","30,95%"
50,Warta Poznań,21/22,44%,"10,06","3,41","3,85","2,79","4,29","1,76","2,53","15,62","2,03","0,06","40,00%"
51,Wisła Kraków,21/22,53%,"12,59","4,06","4,88","3,65","5,12","1,94","3,85","13,94","2,03","0,12","27,03%"
52,Wisła Płock,21/22,50%,"10,47","4,03","3,56","2,88","5,00","1,44","3,76","15,06","2,79","0,15","37,50%"
53,Zagłębie Lubin,21/22,49%,"13,18","3,94","5,82","3,41","5,21","1,41","3,59","14,82","2,44","0,12","34,88%"
54,Cracovia,20/21,48%,"12,03","3,63","4,67","3,73","4,37","1,67","3,43","15,80","2,50","0,17","50,00%"
55,Górnik Zabrze,20/21,51%,"14,10","4,80","5,27","4,03","5,63","1,27","2,80","14,17","2,17","0,00","35,48%"
56,Jagiellonia,20/21,48%,"11,53","4,20","4,57","2,77","4,37","1,63","3,73","14,90","2,33","0,17","30,77%"
57,Lech Poznań,20/21,59%,"15,60","4,97","5,83","4,80","6,67","1,50","3,13","13,37","1,77","0,00","35,90%"
58,Lechia Gdańsk,20/21,50%,"13,07","4,03","5,30","3,73","5,47","1,83","3,73","16,03","2,73","0,17","47,50%"
59,Legia Warszawa,20/21,58%,"15,33","5,23","6,00","4,10","6,13","1,57","2,30","14,07","1,83","0,03","25,00%"
60,Piast Gliwice,20/21,51%,"13,13","4,37","5,57","3,20","4,50","1,83","3,13","12,70","1,80","0,00","30,77%"
61,Podbeskidzie,20/21,47%,"11,40","3,50","4,33","3,57","4,80","1,63","3,07","15,47","2,13","0,13","44,83%"
62,Pogoń Szczecin,20/21,55%,"12,93","4,50","5,20","3,23","6,20","2,10","2,47","13,70","2,07","0,07","44,44%"
63,Raków Częstochowa,20/21,47%,"13,10","5,03","5,03","3,03","5,97","1,57","2,53","14,77","1,93","0,07","45,65%"
64,Stal Mielec,20/21,45%,"11,90","4,53","4,57","2,80","4,77","1,50","3,30","13,07","2,13","0,07","51,61%"
65,Śląsk Wrocław,20/21,47%,"12,07","4,13","5,20","2,73","4,60","1,53","3,37","15,33","1,83","0,10","41,67%"
66,Warta Poznań,20/21,44%,"10,07","3,13","4,37","2,57","4,53","1,60","2,77","13,90","1,47","0,07","21,21%"
67,Wisła Kraków,20/21,50%,"12,80","4,20","5,20","3,40","6,13","2,00","3,53","15,20","2,67","0,03","35,90%"
68,Wisła Płock,20/21,51%,"10,50","4,07","4,20","2,23","4,83","1,30","2,63","15,77","2,03","0,03","48,65%"
69,Zagłębie Lubin,20/21,51%,"11,87","3,97","5,03","2,87","4,90","1,90","3,37","13,27","2,13","0,10","55,26%"
70,Arka Gdynia,19/20,47%,"11,24","3,84","4,70","2,70","4,05","1,68","4,59","18,16","2,32","0,08","51,28%"
71,Cracovia,19/20,50%,"13,73","4,57","5,76","3,41","5,76","1,30","2,76","15,57","2,30","0,05","34,69%"
72,Górnik Zabrze,19/20,46%,"13,05","4,41","5,30","3,35","5,11","1,89","3,41","16,00","2,03","0,05","29,41%"
73,Jagiellonia,19/20,50%,"14,97","4,59","5,62","4,76","6,03","1,78","2,76","13,76","2,41","0,11","37,50%"
74,Korona Kielce,19/20,48%,"13,38","4,22","5,51","3,65","5,08","1,89","3,35","18,59","2,73","0,19","37,93%"
75,Lech Poznań,19/20,56%,"16,65","5,97","5,65","5,03","6,62","1,03","3,05","12,97","1,95","0,11","24,29%"
76,Lechia Gdańsk,19/20,48%,"11,84","3,95","4,92","2,97","5,16","2,27","3,62","15,68","2,51","0,14","31,25%"
77,Legia Warszawa,19/20,52%,"16,57","6,08","6,41","4,08","5,62","1,46","2,46","16,00","1,86","0,05","30,00%"
78,ŁKS Łódź,19/20,54%,"14,51","4,19","5,51","4,81","4,81","1,11","3,57","16,19","2,54","0,11","39,39%"
79,Piast Gliwice,19/20,50%,"13,76","4,95","5,54","3,27","4,95","1,32","3,46","12,43","1,46","0,11","39,02%"
80,Pogoń Szczecin,19/20,52%,"13,84","4,24","5,70","3,89","4,76","1,27","3,32","14,38","1,92","0,11","37,84%"
81,Raków Częstochowa,19/20,47%,"13,49","4,62","5,68","3,19","5,08","1,54","3,70","15,92","2,08","0,05","49,02%"
82,Śląsk Wrocław,19/20,49%,"12,78","4,35","5,43","3,00","5,41","1,38","3,76","15,46","1,84","0,11","35,29%"
83,Wisła Kraków,19/20,52%,"11,35","3,81","4,54","3,00","4,76","1,89","3,22","15,97","2,32","0,14","34,09%"
84,Wisła Płock,19/20,47%,"10,73","4,11","4,38","2,24","5,14","1,46","3,03","15,43","1,92","0,00","46,67%"
85,Zagłębie Lubin,19/20,52%,"14,89","5,35","5,59","3,95","5,14","1,62","3,43","14,95","1,70","0,08","31,15%"
86,Arka Gdynia,18/19,52%,"12,03","4,59","4,46","2,97","5,03","1,30","3,05","16,27","2,08","0,11","46,94%"
87,Cracovia,18/19,50%,"13,08","4,24","5,81","3,03","4,51","1,30","2,68","15,81","2,08","0,03","33,33%"
88,Górnik Zabrze,18/19,47%,"13,41","5,16","5,19","3,05","4,43","2,84","3,08","15,57","2,24","0,11","33,33%"
89,Jagiellonia,18/19,49%,"12,81","4,62","5,05","3,14","4,57","1,51","3,19","13,89","2,11","0,08","36,36%"
90,Korona Kielce,18/19,52%,"14,97","5,14","6,30","3,54","5,35","1,84","2,81","17,46","2,57","0,05","38,10%"
91,Lech Poznań,18/19,52%,"12,38","3,89","5,32","3,16","4,81","1,16","3,14","13,78","1,76","0,00","22,45%"
92,Lechia Gdańsk,18/19,47%,"12,35","3,92","5,38","3,05","4,62","1,81","2,84","15,57","2,51","0,08","38,89%"
93,Legia Warszawa,18/19,52%,"14,03","4,95","5,43","3,65","5,89","2,19","2,49","15,08","2,11","0,11","36,36%"
94,Miedź Legnica,18/19,49%,"13,54","4,76","5,57","3,22","4,81","1,41","3,68","14,97","1,68","0,11","17,50%"
95,Piast Gliwice,18/19,51%,"12,24","3,97","4,86","3,41","5,49","1,62","3,19","14,51","1,43","0,05","36,84%"
96,Pogoń Szczecin,18/19,52%,"14,54","4,57","6,30","3,68","5,73","2,11","2,57","15,00","2,14","0,05","40,35%"
97,Śląsk Wrocław,18/19,47%,"13,30","4,24","5,89","3,16","5,68","2,86","2,86","15,51","2,19","0,11","36,73%"
98,Wisła Kraków,18/19,54%,"11,86","4,46","4,59","2,81","4,54","1,49","3,95","14,05","1,97","0,05","35,82%"
99,Wisła Płock,18/19,48%,"12,95","4,22","5,38","3,35","4,84","1,89","3,05","15,35","2,24","0,19","50,00%"
100,Zagłębie Lubin,18/19,50%,"11,97","4,59","4,46","2,92","4,97","2,35","3,03","14,41","2,43","0,11","33,33%"
101,Zagłębie Sosnowiec,18/19,46%,"12,59","4,41","5,16","3,03","4,92","2,11","4,54","16,70","2,24","0,16","36,73%"
102,Arka Gdynia,17/18,48%,"12,65","4,08","5,38","3,19","5,38","1,38","3,41","18,49","2,38","0,08","58,70%"
103,Bruk-Bet,17/18,49%,"12,51","3,68","6,27","2,57","4,68","1,62","3,08","16,05","2,05","0,08","33,33%"
104,Cracovia,17/18,46%,"12,76","4,32","5,70","2,73","4,43","1,89","3,11","13,22","2,11","0,03","54,90%"
105,Górnik Zabrze,17/18,45%,"14,11","5,11","5,54","3,46","5,05","2,70","3,14","15,81","2,05","0,14","47,69%"
106,Jagiellonia,17/18,51%,"13,70","4,51","5,97","3,22","5,19","1,81","2,51","13,16","2,11","0,03","27,27%"
107,Korona Kielce,17/18,52%,"13,49","4,70","5,78","3,00","5,32","2,54","2,70","16,43","2,16","0,11","30,61%"
108,Lech Poznań,17/18,54%,"13,08","4,89","5,32","2,86","6,32","1,70","2,35","13,84","2,00","0,11","39,62%"
109,Lechia Gdańsk,17/18,53%,"9,59","3,70","4,24","1,65","4,86","2,65","3,00","16,00","2,24","0,11","43,48%"
110,Legia Warszawa,17/18,54%,"12,22","4,59","4,92","2,70","5,27","2,27","3,19","12,78","1,97","0,19","29,63%"
111,Piast Gliwice,17/18,49%,"12,05","3,95","4,76","3,35","3,84","1,97","2,89","13,54","1,81","0,05","41,46%"
112,Pogoń Szczecin,17/18,55%,"13,32","4,78","5,30","3,24","5,19","2,86","2,41","15,38","2,51","0,08","36,96%"
113,Sandecja,17/18,45%,"10,38","3,08","4,86","2,43","4,16","1,76","3,57","16,59","2,46","0,14","14,71%"
114,Śląsk Wrocław,17/18,48%,"11,30","3,89","4,73","2,68","4,19","2,49","3,46","15,84","2,27","0,08","38,00%"
115,Wisła Kraków,17/18,52%,"11,05","4,19","4,49","2,38","5,16","2,03","3,43","15,43","2,54","0,08","35,29%"
116,Wisła Płock,17/18,49%,"11,84","4,46","5,05","2,32","4,92","1,30","2,43","15,95","2,41","0,11","43,40%"
117,Zagłębie Lubin,17/18,52%,"12,32","4,22","5,41","2,70","5,27","2,16","3,14","14,16","2,05","0,08","33,33%"
118,Arka Gdynia,16/17,47%,"12,62","3,84","5,41","3,38","4,73","1,24","2,84","16,81","2,11","0,08","52,27%"
119,Bruk-Bet,16/17,44%,"11,89","4,05","5,46","2,38","4,73","1,16","3,49","14,22","1,81","0,05","40,00%"
120,Cracovia,16/17,54%,"16,08","5,43","6,95","3,70","4,78","1,16","2,41","15,03","1,89","0,03","28,89%"
121,Górnik Łęczna,16/17,48%,"13,78","4,54","6,24","3,00","4,57","1,70","4,00","14,49","1,95","0,16","34,04%"
122,Jagiellonia,16/17,47%,"14,41","4,92","6,35","3,14","4,95","1,16","2,38","14,19","1,73","0,03","35,94%"
123,Korona Kielce,16/17,47%,"14,95","4,49","6,43","4,03","5,38","1,92","3,46","16,05","2,70","0,08","44,68%"
124,Lech Poznań,16/17,52%,"15,68","5,30","6,86","3,51","6,14","1,35","3,14","13,59","1,59","0,08","41,94%"
125,Lechia Gdańsk,16/17,57%,"12,24","4,41","5,22","2,62","5,62","1,92","3,59","14,19","2,78","0,14","29,82%"
126,Legia Warszawa,16/17,57%,"14,92","5,59","6,19","3,14","6,27","2,68","2,92","13,19","1,89","0,11","25,71%"
127,Piast Gliwice,16/17,49%,"12,51","3,84","5,57","3,11","4,05","2,03","3,62","15,00","2,05","0,16","37,78%"
128,Pogoń Szczecin,16/17,53%,"14,86","4,95","6,41","3,51","4,92","2,14","2,38","14,57","1,95","0,05","39,22%"
129,Ruch Chorzów,16/17,47%,"11,30","4,11","4,41","2,78","4,84","1,08","3,57","11,81","1,41","0,08","35,71%"
130,Śląsk Wrocław,16/17,50%,"12,00","4,03","4,86","3,11","4,41","1,43","3,16","15,65","1,84","0,14","34,69%"
131,Wisła Kraków,16/17,51%,"12,41","4,24","5,35","2,81","5,43","1,97","3,30","15,70","2,35","0,08","29,63%"
132,Wisła Płock,16/17,46%,"12,24","3,95","5,62","2,68","5,41","1,05","3,76","14,41","1,97","0,08","40,82%"
133,Zagłębie Lubin,16/17,51%,"14,59","4,65","6,22","3,73","5,68","2,38","3,27","15,14","2,11","0,03","47,06%"
134,Cracovia,15/16,54%,"15,89","5,57","6,32","4,00","5,32","1,41","2,86","12,54","2,11","0,03","25,76%"
135,Górnik Łęczna,15/16,45%,"13,78","4,38","5,81","3,59","5,08","2,46","3,00","14,49","2,38","0,16","25,00%"
136,Górnik Zabrze,15/16,48%,"12,92","3,68","6,11","3,14","5,32","1,35","3,32","13,97","1,97","0,11","39,47%"
