,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał,Punkty_Gospodarze,Zwycięstwa_Gospodarze,Remisy_Gospodarze,Porażki_Gospodarze,Gole_zdobyte_Gospodarze,Gole_stracone_Gospodarze,Avg._posiadanie_Gospodarze,Avg.strzały_Gospodarze,Avg.strzały_celne_Gospodarze,Avg.strzały_niecelne_Gospodarze,Avg.strzały_zablokowane_Gospodarze,Avg.rzuty_rożne_Gospodarze,Avg.spalone_Gospodarze,Avg.obrony_bramkarza_Gospodarze,Avg.faule_Gospodarze,Avg.Żółte_kartki_Gospodarze,Avg.Czerwone_kartki_Gospodarze,%_SFG_Gospodarze,Punkty_Goście,Zwycięstwa_Goście,Remisy_Goście,Porażki_Goście,Gole_zdobyte_Goście,Gole_stracone_Goście,Avg._posiadanie_Goście,Avg.strzały_Goście,Avg.strzały_celne_Goście,Avg.strzały_niecelne_Goście,Avg.strzały_zablokowane_Goście,Avg.rzuty_rożne_Goście,Avg.spalone_Goście,Avg.obrony_bramkarza_Goście,Avg.faule_Goście,Avg.Żółte_kartki_Goście,Avg.Czerwone_kartki_Goście,%_SFG_Goście
840,11 Wrz 2022,17:30,22/23,Raków Częstochowa,4,0,Legia Warszawa,1.66,3.99,5.41,Wygrali gospodarze,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67,43.0,13.0,4.0,17.0,46.0,48.0,55.0,12.76,4.38,5.06,3.32,6.09,1.35,2.82,14.91,2.82,0.15,26.09
841,11 Wrz 2022,15:00,22/23,Pogoń Szczecin,2,2,Lech Poznań,2.54,3.43,2.82,Remis,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57,74.0,22.0,8.0,4.0,67.0,24.0,56.0,17.35,6.41,6.41,4.53,6.82,1.71,1.53,12.47,1.53,0.06,28.36
842,11 Wrz 2022,12:30,22/23,Miedź Legnica,2,2,Korona Kielce,2.09,3.43,3.63,Remis,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
843,10 Wrz 2022,20:00,22/23,Górnik Zabrze,3,3,Piast Gliwice,2.66,3.26,2.82,Remis,47.0,13.0,8.0,13.0,55.0,55.0,51.0,13.47,4.91,5.24,3.32,5.21,1.79,2.68,13.09,2.0,0.03,21.82,54.0,15.0,9.0,10.0,45.0,37.0,47.0,10.85,3.5,4.62,2.74,4.38,1.82,2.68,12.65,1.5,0.0,40.0
844,10 Wrz 2022,17:30,22/23,Radomiak Radom,2,0,Wisła Płock,2.19,3.48,3.33,Wygrali gospodarze,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86,48.0,15.0,3.0,16.0,48.0,51.0,50.0,10.47,4.03,3.56,2.88,5.0,1.44,3.76,15.06,2.79,0.15,37.5
845,10 Wrz 2022,15:00,22/23,Śląsk Wrocław,2,1,Lechia Gdańsk,2.34,3.4,3.1,Wygrali gospodarze,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95,57.0,16.0,9.0,9.0,52.0,39.0,54.0,13.38,4.68,5.44,3.26,6.47,1.74,3.56,14.85,2.18,0.03,28.85
846,09 Wrz 2022,20:30,22/23,Widzew Łódź,2,0,Cracovia,3.08,3.28,2.46,Wygrali gospodarze,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,46.0,12.0,10.0,12.0,40.0,42.0,48.0,12.0,4.06,4.76,3.18,5.18,2.44,2.41,14.97,2.18,0.06,40.0
847,09 Wrz 2022,18:00,22/23,Warta Poznań,2,2,Zagłębie Lubin,2.6,3.19,2.92,Remis,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88
848,05 Wrz 2022,20:30,22/23,Wisła Płock,1,1,Górnik Zabrze,2.11,3.64,3.43,Remis,48.0,15.0,3.0,16.0,48.0,51.0,50.0,10.47,4.03,3.56,2.88,5.0,1.44,3.76,15.06,2.79,0.15,37.5,47.0,13.0,8.0,13.0,55.0,55.0,51.0,13.47,4.91,5.24,3.32,5.21,1.79,2.68,13.09,2.0,0.03,21.82
849,05 Wrz 2022,18:00,22/23,Piast Gliwice,2,1,Miedź Legnica,1.87,3.47,4.6,Wygrali gospodarze,54.0,15.0,9.0,10.0,45.0,37.0,47.0,10.85,3.5,4.62,2.74,4.38,1.82,2.68,12.65,1.5,0.0,40.0,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
850,04 Wrz 2022,17:30,22/23,Lech Poznań,2,0,Widzew Łódź,1.66,4.05,5.23,Wygrali gospodarze,74.0,22.0,8.0,4.0,67.0,24.0,56.0,17.35,6.41,6.41,4.53,6.82,1.71,1.53,12.47,1.53,0.06,28.36,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
851,04 Wrz 2022,15:00,22/23,Korona Kielce,1,2,Pogoń Szczecin,4.13,3.52,1.95,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57
852,04 Wrz 2022,12:30,22/23,Zagłębie Lubin,1,1,Jagiellonia,2.23,3.47,3.34,Remis,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88,40.0,9.0,13.0,12.0,39.0,50.0,48.0,12.06,4.15,4.82,3.09,5.15,2.18,2.44,15.38,2.59,0.09,25.64
853,03 Wrz 2022,20:00,22/23,Cracovia,3,0,Raków Częstochowa,3.77,3.23,2.15,Wygrali gospodarze,46.0,12.0,10.0,12.0,40.0,42.0,48.0,12.0,4.06,4.76,3.18,5.18,2.44,2.41,14.97,2.18,0.06,40.0,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67
854,03 Wrz 2022,17:30,22/23,Lechia Gdańsk,0,0,Warta Poznań,2.51,3.15,3.05,Remis,57.0,16.0,9.0,9.0,52.0,39.0,54.0,13.38,4.68,5.44,3.26,6.47,1.74,3.56,14.85,2.18,0.03,28.85,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0
855,03 Wrz 2022,15:00,22/23,Stal Mielec,2,0,Śląsk Wrocław,2.39,3.34,3.11,Wygrali gospodarze,37.0,9.0,10.0,15.0,39.0,52.0,45.0,10.29,3.68,4.15,2.47,4.44,1.65,3.44,11.68,2.26,0.09,51.28,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95
856,02 Wrz 2022,20:30,22/23,Legia Warszawa,1,0,Radomiak Radom,2.06,3.4,3.9,Wygrali gospodarze,43.0,13.0,4.0,17.0,46.0,48.0,55.0,12.76,4.38,5.06,3.32,6.09,1.35,2.82,14.91,2.82,0.15,26.09,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86
857,31 Sie 2022,20:30,22/23,Lechia Gdańsk,0,3,Lech Poznań,3.28,3.5,2.2,Wygrali goście,57.0,16.0,9.0,9.0,52.0,39.0,54.0,13.38,4.68,5.44,3.26,6.47,1.74,3.56,14.85,2.18,0.03,28.85,74.0,22.0,8.0,4.0,67.0,24.0,56.0,17.35,6.41,6.41,4.53,6.82,1.71,1.53,12.47,1.53,0.06,28.36
858,31 Sie 2022,18:00,22/23,Raków Częstochowa,1,0,Pogoń Szczecin,1.84,3.63,4.42,Wygrali gospodarze,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57
859,28 Sie 2022,17:30,22/23,Lech Poznań,1,0,Piast Gliwice,2.07,3.35,3.7,Wygrali gospodarze,74.0,22.0,8.0,4.0,67.0,24.0,56.0,17.35,6.41,6.41,4.53,6.82,1.71,1.53,12.47,1.53,0.06,28.36,54.0,15.0,9.0,10.0,45.0,37.0,47.0,10.85,3.5,4.62,2.74,4.38,1.82,2.68,12.65,1.5,0.0,40.0
860,28 Sie 2022,15:00,22/23,Śląsk Wrocław,1,4,Raków Częstochowa,3.55,3.45,2.12,Wygrali goście,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67
861,28 Sie 2022,12:30,22/23,Cracovia,0,2,Warta Poznań,2.1,3.23,3.89,Wygrali goście,46.0,12.0,10.0,12.0,40.0,42.0,48.0,12.0,4.06,4.76,3.18,5.18,2.44,2.41,14.97,2.18,0.06,40.0,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0
862,27 Sie 2022,20:00,22/23,Widzew Łódź,2,1,Wisła Płock,2.46,3.52,2.84,Wygrali gospodarze,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,48.0,15.0,3.0,16.0,48.0,51.0,50.0,10.47,4.03,3.56,2.88,5.0,1.44,3.76,15.06,2.79,0.15,37.5
863,27 Sie 2022,17:30,22/23,Pogoń Szczecin,3,0,Zagłębie Lubin,1.76,3.84,4.65,Wygrali gospodarze,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88
864,27 Sie 2022,15:00,22/23,Miedź Legnica,2,1,Lechia Gdańsk,2.29,3.47,3.17,Wygrali gospodarze,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,57.0,16.0,9.0,9.0,52.0,39.0,54.0,13.38,4.68,5.44,3.26,6.47,1.74,3.56,14.85,2.18,0.03,28.85
865,27 Sie 2022,12:30,22/23,Radomiak Radom,0,2,Korona Kielce,1.71,3.75,5.2,Wygrali goście,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
866,26 Sie 2022,20:30,22/23,Stal Mielec,0,1,Legia Warszawa,3.99,3.62,1.93,Wygrali goście,37.0,9.0,10.0,15.0,39.0,52.0,45.0,10.29,3.68,4.15,2.47,4.44,1.65,3.44,11.68,2.26,0.09,51.28,43.0,13.0,4.0,17.0,46.0,48.0,55.0,12.76,4.38,5.06,3.32,6.09,1.35,2.82,14.91,2.82,0.15,26.09
867,26 Sie 2022,18:00,22/23,Górnik Zabrze,1,1,Jagiellonia,2.21,3.48,3.27,Remis,47.0,13.0,8.0,13.0,55.0,55.0,51.0,13.47,4.91,5.24,3.32,5.21,1.79,2.68,13.09,2.0,0.03,21.82,40.0,9.0,13.0,12.0,39.0,50.0,48.0,12.06,4.15,4.82,3.09,5.15,2.18,2.44,15.38,2.59,0.09,25.64
868,21 Sie 2022,17:30,22/23,Piast Gliwice,4,0,Stal Mielec,1.77,3.64,4.92,Wygrali gospodarze,54.0,15.0,9.0,10.0,45.0,37.0,47.0,10.85,3.5,4.62,2.74,4.38,1.82,2.68,12.65,1.5,0.0,40.0,37.0,9.0,10.0,15.0,39.0,52.0,45.0,10.29,3.68,4.15,2.47,4.44,1.65,3.44,11.68,2.26,0.09,51.28
869,21 Sie 2022,15:00,22/23,Zagłębie Lubin,0,1,Radomiak Radom,2.51,3.28,2.97,Wygrali goście,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86
870,20 Sie 2022,20:00,22/23,Warta Poznań,0,1,Widzew Łódź,2.41,3.19,3.14,Wygrali goście,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
871,20 Sie 2022,17:30,22/23,Śląsk Wrocław,1,1,Cracovia,2.73,3.21,2.76,Remis,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95,46.0,12.0,10.0,12.0,40.0,42.0,48.0,12.0,4.06,4.76,3.18,5.18,2.44,2.41,14.97,2.18,0.06,40.0
872,20 Sie 2022,15:00,22/23,Wisła Płock,2,1,Korona Kielce,1.62,4.09,5.56,Wygrali gospodarze,48.0,15.0,3.0,16.0,48.0,51.0,50.0,10.47,4.03,3.56,2.88,5.0,1.44,3.76,15.06,2.79,0.15,37.5,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
873,19 Sie 2022,20:30,22/23,Legia Warszawa,2,2,Górnik Zabrze,1.77,3.85,4.55,Remis,43.0,13.0,4.0,17.0,46.0,48.0,55.0,12.76,4.38,5.06,3.32,6.09,1.35,2.82,14.91,2.82,0.15,26.09,47.0,13.0,8.0,13.0,55.0,55.0,51.0,13.47,4.91,5.24,3.32,5.21,1.79,2.68,13.09,2.0,0.03,21.82
874,19 Sie 2022,18:00,22/23,Jagiellonia,2,1,Miedź Legnica,2.06,3.55,3.61,Wygrali gospodarze,40.0,9.0,13.0,12.0,39.0,50.0,48.0,12.06,4.15,4.82,3.09,5.15,2.18,2.44,15.38,2.59,0.09,25.64,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
875,15 Sie 2022,19:00,22/23,Korona Kielce,0,1,Warta Poznań,3.03,3.16,2.59,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0
876,14 Sie 2022,20:00,22/23,Lech Poznań,0,1,Śląsk Wrocław,1.76,3.85,4.65,Wygrali goście,74.0,22.0,8.0,4.0,67.0,24.0,56.0,17.35,6.41,6.41,4.53,6.82,1.71,1.53,12.47,1.53,0.06,28.36,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95
877,14 Sie 2022,17:30,22/23,Raków Częstochowa,2,2,Jagiellonia,1.67,4.0,5.31,Remis,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67,40.0,9.0,13.0,12.0,39.0,50.0,48.0,12.06,4.15,4.82,3.09,5.15,2.18,2.44,15.38,2.59,0.09,25.64
878,14 Sie 2022,15:00,22/23,Radomiak Radom,4,1,Lechia Gdańsk,1.99,3.63,3.95,Wygrali gospodarze,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86,57.0,16.0,9.0,9.0,52.0,39.0,54.0,13.38,4.68,5.44,3.26,6.47,1.74,3.56,14.85,2.18,0.03,28.85
879,13 Sie 2022,20:00,22/23,Pogoń Szczecin,2,2,Wisła Płock,1.98,3.72,3.8,Remis,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57,48.0,15.0,3.0,16.0,48.0,51.0,50.0,10.47,4.03,3.56,2.88,5.0,1.44,3.76,15.06,2.79,0.15,37.5
880,13 Sie 2022,17:30,22/23,Górnik Zabrze,1,3,Stal Mielec,1.75,4.03,4.61,Wygrali goście,47.0,13.0,8.0,13.0,55.0,55.0,51.0,13.47,4.91,5.24,3.32,5.21,1.79,2.68,13.09,2.0,0.03,21.82,37.0,9.0,10.0,15.0,39.0,52.0,45.0,10.29,3.68,4.15,2.47,4.44,1.65,3.44,11.68,2.26,0.09,51.28
881,13 Sie 2022,15:00,22/23,Cracovia,0,1,Piast Gliwice,2.27,3.12,3.57,Wygrali goście,46.0,12.0,10.0,12.0,40.0,42.0,48.0,12.0,4.06,4.76,3.18,5.18,2.44,2.41,14.97,2.18,0.06,40.0,54.0,15.0,9.0,10.0,45.0,37.0,47.0,10.85,3.5,4.62,2.74,4.38,1.82,2.68,12.65,1.5,0.0,40.0
882,12 Sie 2022,20:30,22/23,Widzew Łódź,1,2,Legia Warszawa,3.24,3.5,2.25,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,43.0,13.0,4.0,17.0,46.0,48.0,55.0,12.76,4.38,5.06,3.32,6.09,1.35,2.82,14.91,2.82,0.15,26.09
883,12 Sie 2022,18:00,22/23,Miedź Legnica,0,1,Zagłębie Lubin,3.04,3.29,2.49,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88
884,08 Sie 2022,19:00,22/23,Wisła Płock,4,1,Miedź Legnica,1.75,3.82,4.88,Wygrali gospodarze,48.0,15.0,3.0,16.0,48.0,51.0,50.0,10.47,4.03,3.56,2.88,5.0,1.44,3.76,15.06,2.79,0.15,37.5,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
885,07 Sie 2022,20:00,22/23,Górnik Zabrze,1,0,Raków Częstochowa,2.99,3.4,2.43,Wygrali gospodarze,47.0,13.0,8.0,13.0,55.0,55.0,51.0,13.47,4.91,5.24,3.32,5.21,1.79,2.68,13.09,2.0,0.03,21.82,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67
886,07 Sie 2022,17:30,22/23,Zagłębie Lubin,1,1,Lech Poznań,3.18,3.55,2.26,Remis,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88,74.0,22.0,8.0,4.0,67.0,24.0,56.0,17.35,6.41,6.41,4.53,6.82,1.71,1.53,12.47,1.53,0.06,28.36
887,07 Sie 2022,15:00,22/23,Warta Poznań,1,2,Pogoń Szczecin,3.82,3.31,2.11,Wygrali goście,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57
888,06 Sie 2022,20:00,22/23,Śląsk Wrocław,0,0,Widzew Łódź,2.21,3.56,3.36,Remis,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
889,06 Sie 2022,17:30,22/23,Jagiellonia,1,2,Radomiak Radom,2.26,3.35,3.32,Wygrali goście,40.0,9.0,13.0,12.0,39.0,50.0,48.0,12.06,4.15,4.82,3.09,5.15,2.18,2.44,15.38,2.59,0.09,25.64,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86
890,06 Sie 2022,15:00,22/23,Lechia Gdańsk,0,1,Korona Kielce,1.62,4.2,5.47,Wygrali goście,57.0,16.0,9.0,9.0,52.0,39.0,54.0,13.38,4.68,5.44,3.26,6.47,1.74,3.56,14.85,2.18,0.03,28.85,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
891,05 Sie 2022,20:30,22/23,Legia Warszawa,2,0,Piast Gliwice,2.1,3.39,3.81,Wygrali gospodarze,43.0,13.0,4.0,17.0,46.0,48.0,55.0,12.76,4.38,5.06,3.32,6.09,1.35,2.82,14.91,2.82,0.15,26.09,54.0,15.0,9.0,10.0,45.0,37.0,47.0,10.85,3.5,4.62,2.74,4.38,1.82,2.68,12.65,1.5,0.0,40.0
892,05 Sie 2022,18:00,22/23,Stal Mielec,2,0,Cracovia,3.87,3.49,2.05,Wygrali gospodarze,37.0,9.0,10.0,15.0,39.0,52.0,45.0,10.29,3.68,4.15,2.47,4.44,1.65,3.44,11.68,2.26,0.09,51.28,46.0,12.0,10.0,12.0,40.0,42.0,48.0,12.0,4.06,4.76,3.18,5.18,2.44,2.41,14.97,2.18,0.06,40.0
893,01 Sie 2022,19:00,22/23,Korona Kielce,3,1,Śląsk Wrocław,3.28,3.33,2.33,Wygrali gospodarze,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95
894,31 Lip 2022,20:00,22/23,Widzew Łódź,2,3,Lechia Gdańsk,2.63,3.46,2.75,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,57.0,16.0,9.0,9.0,52.0,39.0,54.0,13.38,4.68,5.44,3.26,6.47,1.74,3.56,14.85,2.18,0.03,28.85
895,31 Lip 2022,17:30,22/23,Lech Poznań,1,3,Wisła Płock,1.8,3.92,4.38,Wygrali goście,74.0,22.0,8.0,4.0,67.0,24.0,56.0,17.35,6.41,6.41,4.53,6.82,1.71,1.53,12.47,1.53,0.06,28.36,48.0,15.0,3.0,16.0,48.0,51.0,50.0,10.47,4.03,3.56,2.88,5.0,1.44,3.76,15.06,2.79,0.15,37.5
896,31 Lip 2022,17:30,22/23,Raków Częstochowa,3,2,Stal Mielec,1.33,5.49,9.96,Wygrali gospodarze,69.0,20.0,9.0,5.0,60.0,30.0,50.0,13.65,5.62,5.26,2.76,6.15,1.74,2.59,13.65,2.29,0.12,41.67,37.0,9.0,10.0,15.0,39.0,52.0,45.0,10.29,3.68,4.15,2.47,4.44,1.65,3.44,11.68,2.26,0.09,51.28
897,31 Lip 2022,15:00,22/23,Pogoń Szczecin,1,0,Jagiellonia,1.59,4.22,5.77,Wygrali gospodarze,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57,40.0,9.0,13.0,12.0,39.0,50.0,48.0,12.06,4.15,4.82,3.09,5.15,2.18,2.44,15.38,2.59,0.09,25.64
898,30 Lip 2022,20:00,22/23,Miedź Legnica,1,2,Warta Poznań,2.5,3.13,3.16,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,42.0,11.0,9.0,14.0,35.0,38.0,44.0,10.06,3.41,3.85,2.79,4.29,1.76,2.53,15.62,2.03,0.06,40.0
899,30 Lip 2022,17:30,22/23,Radomiak Radom,0,3,Górnik Zabrze,2.47,3.38,2.99,Wygrali goście,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86,47.0,13.0,8.0,13.0,55.0,55.0,51.0,13.47,4.91,5.24,3.32,5.21,1.79,2.68,13.09,2.0,0.03,21.82
900,29 Lip 2022,20:30,22/23,Cracovia,3,0,Legia Warszawa,2.82,3.16,2.74,Wygrali gospodarze,46.0,12.0,10.0,12.0,40.0,42.0,48.0,12.0,4.06,4.76,3.18,5.18,2.44,2.41,14.97,2.18,0.06,40.0,43.0,13.0,4.0,17.0,46.0,48.0,55.0,12.76,4.38,5.06,3.32,6.09,1.35,2.82,14.91,2.82,0.15,26.09
901,29 Lip 2022,18:00,22/23,Piast Gliwice,0,1,Zagłębie Lubin,2.12,3.33,3.76,Wygrali goście,54.0,15.0,9.0,10.0,45.0,37.0,47.0,10.85,3.5,4.62,2.74,4.38,1.82,2.68,12.65,1.5,0.0,40.0,38.0,11.0,5.0,18.0,43.0,59.0,49.0,13.18,3.94,5.82,3.41,5.21,1.41,3.59,14.82,2.44,0.12,34.88
902,25 Lip 2022,19:00,22/23,Stal Mielec,1,1,Radomiak Radom,2.95,3.19,2.63,Remis,37.0,9.0,10.0,15.0,39.0,52.0,45.0,10.29,3.68,4.15,2.47,4.44,1.65,3.44,11.68,2.26,0.09,51.28,48.0,11.0,15.0,8.0,42.0,40.0,50.0,13.06,4.21,5.24,3.62,5.38,1.53,2.79,13.38,2.12,0.12,42.86
903,24 Lip 2022,17:30,22/23,Śląsk Wrocław,2,1,Pogoń Szczecin,3.41,3.39,2.22,Wygrali gospodarze,35.0,7.0,14.0,13.0,42.0,52.0,48.0,12.71,4.26,5.09,3.35,4.56,1.97,3.5,13.62,2.15,0.15,30.95,65.0,18.0,11.0,5.0,63.0,31.0,55.0,14.35,5.32,5.41,3.62,6.26,1.82,2.32,11.65,1.85,0.09,28.57
