,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał
163,25 Lis 2024,19:00,24/25,Puszcza Niepołomice,2,0,Widzew Łódź,3.31,3.53,2.16,Wygrali gospodarze
164,24 Lis 2024,17:30,24/25,Górnik Zabrze,1,0,Piast Gliwice,2.55,2.91,3.19,Wygrali gospodarze
165,24 Lis 2024,14:45,24/25,Raków Częstochowa,1,1,Korona Kielce,1.54,3.91,6.8,Remis
166,24 Lis 2024,12:15,24/25,Radomiak Radom,1,2,Stal Mielec,2.3,3.41,3.05,Wygrali goście
167,23 Lis 2024,20:15,24/25,Legia Warszawa,3,2,Cracovia,1.61,4.2,5.28,Wygrali gospodarze
168,23 Lis 2024,17:30,24/25,Lech Poznań,2,0,GKS Katowice,1.44,4.83,6.69,Wygrali gospodarze
169,23 Lis 2024,14:45,24/25,Lechia Gdańsk,0,3,Pogoń Szczecin,3.72,3.86,1.9,Wygrali goście
170,22 Lis 2024,20:30,24/25,Jagiellonia Białystok,2,2,Śląsk Wrocław,1.72,3.93,4.8,Remis
171,22 Lis 2024,18:00,24/25,Zagłębie Lubin,1,2,Motor Lublin,2.23,3.44,3.23,Wygrali goście
172,10 Lis 2024,17:30,24/25,Lech Poznań,5,2,Legia Warszawa,2.18,3.24,3.52,Wygrali gospodarze
173,10 Lis 2024,14:45,24/25,Jagiellonia Białystok,2,2,Raków Częstochowa,3.41,3.27,2.21,Remis
174,10 Lis 2024,12:15,24/25,Stal Mielec,2,0,Puszcza Niepołomice,1.94,3.52,3.91,Wygrali gospodarze
175,09 Lis 2024,20:15,24/25,Śląsk Wrocław,0,1,Górnik Zabrze,2.43,3.26,3.04,Wygrali goście
176,09 Lis 2024,17:30,24/25,Widzew Łódź,2,0,Zagłębie Lubin,2.03,3.48,3.61,Wygrali gospodarze
177,09 Lis 2024,14:45,24/25,Cracovia,3,4,GKS Katowice,1.93,3.64,3.87,Wygrali goście
178,09 Lis 2024,12:15,24/25,Korona Kielce,0,0,Lechia Gdańsk,1.72,3.77,4.78,Remis
179,08 Lis 2024,20:30,24/25,Pogoń Szczecin,0,1,Radomiak Radom,1.89,3.75,3.97,Wygrali goście
180,08 Lis 2024,18:00,24/25,Piast Gliwice,2,3,Motor Lublin,1.9,3.46,4.32,Wygrali goście
181,04 Lis 2024,20:30,24/25,Zagłębie Lubin,3,0,Śląsk Wrocław,2.31,3.24,3.29,Wygrali gospodarze
182,04 Lis 2024,18:00,24/25,GKS Katowice,1,2,Korona Kielce,2.14,3.35,3.51,Wygrali goście
183,03 Lis 2024,20:15,24/25,Legia Warszawa,2,1,Widzew Łódź,1.49,4.51,6.37,Wygrali gospodarze
184,03 Lis 2024,17:30,24/25,Lechia Gdańsk,1,2,Cracovia,3.24,3.49,2.17,Wygrali goście
185,03 Lis 2024,14:45,24/25,Górnik Zabrze,0,2,Jagiellonia Białystok,2.35,3.63,2.85,Wygrali goście
186,03 Lis 2024,12:15,24/25,Radomiak Radom,1,1,Piast Gliwice,2.59,3.09,2.89,Remis
187,02 Lis 2024,20:15,24/25,Puszcza Niepołomice,2,0,Lech Poznań,5.8,3.91,1.6,Wygrali gospodarze
188,02 Lis 2024,17:30,24/25,Motor Lublin,4,2,Pogoń Szczecin,3.07,3.65,2.21,Wygrali gospodarze
189,02 Lis 2024,14:45,24/25,Raków Częstochowa,1,0,Stal Mielec,1.41,4.63,7.94,Wygrali gospodarze
190,27 Paź 2024,20:15,24/25,Legia Warszawa,4,1,GKS Katowice,1.61,4.11,5.35,Wygrali gospodarze
191,27 Paź 2024,17:30,24/25,Widzew Łódź,0,2,Górnik Zabrze,2.11,3.54,3.39,Wygrali goście
192,27 Paź 2024,14:45,24/25,Jagiellonia Białystok,3,1,Korona Kielce,1.73,3.89,4.63,Wygrali gospodarze
