,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał
674,10 Kwi 2023,20:00,22/23,Miedź Legnica,2,2,Legia Warszawa,4.93,3.92,1.73,Remis
675,10 Kwi 2023,17:30,22/23,Radomiak Radom,0,0,Raków Częstochowa,5.63,3.72,1.7,Remis
676,10 Kwi 2023,15:00,22/23,Jagiellonia Białystok,1,0,Lechia Gdańsk,1.96,3.59,4,Wygrali gospodarze
677,08 Kwi 2023,20:00,22/23,Lech Poznań,2,0,Warta Poznań,1.7,3.74,5.5,Wygrali gospodarze
678,08 Kwi 2023,17:30,22/23,Pogoń Szczecin,3,2,Cracovia,1.78,3.8,4.71,Wygrali gospodarze
679,08 Kwi 2023,15:00,22/23,Widzew Łódź,0,2,Stal Mielec,1.76,3.79,4.8,Wygrali goście
680,08 Kwi 2023,12:30,22/23,Wisła Płock,2,0,Zagłębie Lubin,2.7,3.39,2.73,Wygrali gospodarze
681,06 Kwi 2023,20:30,22/23,Górnik Zabrze,1,1,Korona Kielce,1.88,3.56,4.43,Remis
682,06 Kwi 2023,18:00,22/23,Śląsk Wrocław,0,1,Piast Gliwice,3.41,2.98,2.49,Wygrali goście
683,03 Kwi 2023,19:00,22/23,Stal Mielec,1,1,Jagiellonia Białystok,2.52,3.4,2.93,Remis
684,02 Kwi 2023,17:30,22/23,Lech Poznań,2,2,Pogoń Szczecin,1.98,3.62,3.92,Remis
685,02 Kwi 2023,15:00,22/23,Cracovia,1,1,Widzew Łódź,2.64,3.13,2.99,Remis
686,02 Kwi 2023,12:30,22/23,Wisła Płock,1,1,Radomiak Radom,2.8,3.28,2.66,Remis
687,01 Kwi 2023,20:00,22/23,Lechia Gdańsk,0,0,Śląsk Wrocław,2.22,3.35,3.44,Remis
688,01 Kwi 2023,17:30,22/23,Legia Warszawa,3,1,Raków Częstochowa,3.55,3.24,2.26,Wygrali gospodarze
689,01 Kwi 2023,15:00,22/23,Korona Kielce,1,0,Miedź Legnica,2,3.48,3.99,Wygrali gospodarze
690,31-Mar-23,20:30,22/23,Piast Gliwice,1,0,Górnik Zabrze,2.3,3.16,3.53,Wygrali gospodarze
691,31-Mar-23,18:00,22/23,Zagłębie Lubin,0,0,Warta Poznań,2.65,3.13,2.95,Remis
692,19-Mar-23,17:30,22/23,Widzew Łódź,1,2,Lech Poznań,3.28,3.42,2.29,Wygrali goście
693,19-Mar-23,15:00,22/23,Miedź Legnica,0,1,Piast Gliwice,3.47,3.07,2.32,Wygrali goście
694,19-Mar-23,12:30,22/23,Warta Poznań,2,0,Lechia Gdańsk,2.02,3.36,4.06,Wygrali gospodarze
695,18-Mar-23,20:00,22/23,Raków Częstochowa,4,1,Cracovia,1.43,4.6,8.36,Wygrali gospodarze
696,18-Mar-23,17:30,22/23,Pogoń Szczecin,0,0,Korona Kielce,1.55,4.42,6.02,Remis
697,18-Mar-23,15:00,22/23,Jagiellonia Białystok,2,2,Zagłębie Lubin,2.43,3.44,3.02,Remis
698,18-Mar-23,12:30,22/23,Śląsk Wrocław,1,1,Stal Mielec,2.26,3.38,3.28,Remis
699,17-Mar-23,20:30,22/23,Radomiak Radom,0,2,Legia Warszawa,3.31,3.32,2.32,Wygrali goście
700,17-Mar-23,18:00,22/23,Górnik Zabrze,3,2,Wisła Płock,1.89,3.66,4.25,Wygrali gospodarze
701,13-Mar-23,19:00,22/23,Wisła Płock,1,1,Widzew Łódź,3.14,3.33,2.45,Remis
702,12-Mar-23,17:30,22/23,Legia Warszawa,2,0,Stal Mielec,1.5,4.45,6.94,Wygrali gospodarze
703,12-Mar-23,15:00,22/23,Piast Gliwice,1,1,Lech Poznań,3.07,3.14,2.56,Remis
704,12-Mar-23,12:30,22/23,Warta Poznań,0,0,Cracovia,2.53,3,3.23,Remis
705,11-Mar-23,20:00,22/23,Jagiellonia Białystok,2,1,Górnik Zabrze,2.71,3.4,2.69,Wygrali gospodarze
706,11-Mar-23,17:30,22/23,Zagłębie Lubin,0,1,Pogoń Szczecin,3.61,3.53,2.09,Wygrali goście
707,11-Mar-23,15:00,22/23,Korona Kielce,2,1,Radomiak Radom,2.81,3.19,2.75,Wygrali gospodarze
708,10-Mar-23,20:30,22/23,Raków Częstochowa,4,1,Śląsk Wrocław,1.28,5.98,13.6,Wygrali gospodarze
709,10-Mar-23,18:00,22/23,Lechia Gdańsk,4,0,Miedź Legnica,2.56,3.39,2.88,Wygrali gospodarze
710,08-Mar-23,18:45,22/23,Wisła Płock,1,0,Warta Poznań,2.83,3.15,2.76,Wygrali gospodarze
711,06-Mar-23,19:00,22/23,Radomiak Radom,0,1,Zagłębie Lubin,2.07,3.44,3.78,Wygrali goście
712,05-Mar-23,17:30,22/23,Cracovia,1,1,Śląsk Wrocław,1.98,3.37,4.22,Remis
713,05-Mar-23,15:00,22/23,Pogoń Szczecin,0,2,Raków Częstochowa,3.66,3.38,2.14,Wygrali goście
714,05-Mar-23,12:30,22/23,Miedź Legnica,1,1,Jagiellonia Białystok,2.24,3.4,3.3,Remis
715,04-Mar-23,20:00,22/23,Górnik Zabrze,0,1,Legia Warszawa,3.27,3.46,2.26,Wygrali goście
716,04-Mar-23,17:30,22/23,Korona Kielce,1,0,Wisła Płock,2.39,3.32,3.18,Wygrali gospodarze
717,04-Mar-23,15:00,22/23,Widzew Łódź,0,2,Warta Poznań,2.26,3.19,3.52,Wygrali goście
718,03-Mar-23,20:30,22/23,Lech Poznań,5,0,Lechia Gdańsk,1.43,4.88,7.77,Wygrali gospodarze
719,03-Mar-23,18:00,22/23,Stal Mielec,0,2,Piast Gliwice,3.48,3.18,2.32,Wygrali goście
720,27 Lut 2023,19:00,22/23,Zagłębie Lubin,2,1,Miedź Legnica,2.38,3.32,3.18,Wygrali gospodarze
721,26 Lut 2023,17:30,22/23,Śląsk Wrocław,2,1,Lech Poznań,4.14,3.38,2.02,Wygrali gospodarze
722,26 Lut 2023,15:00,22/23,Wisła Płock,0,1,Pogoń Szczecin,3.28,3.58,2.2,Wygrali goście
723,26 Lut 2023,12:30,22/23,Stal Mielec,0,1,Górnik Zabrze,2.88,3.45,2.54,Wygrali goście
724,25 Lut 2023,20:00,22/23,Lechia Gdańsk,1,3,Radomiak Radom,2.54,3.25,2.97,Wygrali goście
725,25 Lut 2023,17:30,22/23,Warta Poznań,5,1,Korona Kielce,1.96,3.38,4.33,Wygrali gospodarze
726,25 Lut 2023,15:00,22/23,Piast Gliwice,2,1,Cracovia,2.39,2.98,3.6,Wygrali gospodarze
727,24 Lut 2023,20:30,22/23,Legia Warszawa,2,2,Widzew Łódź,2.01,3.51,3.92,Remis
728,24 Lut 2023,18:00,22/23,Jagiellonia Białystok,1,2,Raków Częstochowa,6.87,4.33,1.52,Wygrali goście
729,20 Lut 2023,19:00,22/23,Radomiak Radom,0,0,Jagiellonia Białystok,2.11,3.35,3.81,Remis
730,19 Lut 2023,17:30,22/23,Piast Gliwice,0,1,Legia Warszawa,2.88,3.24,2.64,Wygrali goście
731,19 Lut 2023,15:00,22/23,Lech Poznań,1,2,Zagłębie Lubin,1.71,3.98,5.08,Wygrali goście
732,19 Lut 2023,12:30,22/23,Miedź Legnica,2,1,Wisła Płock,2.41,3.35,3.11,Wygrali gospodarze
733,18 Lut 2023,20:00,22/23,Pogoń Szczecin,3,1,Warta Poznań,1.98,3.41,4.18,Wygrali gospodarze
734,18 Lut 2023,17:30,22/23,Raków Częstochowa,2,0,Górnik Zabrze,1.48,4.48,7.41,Wygrali gospodarze
735,18 Lut 2023,15:00,22/23,Korona Kielce,1,0,Lechia Gdańsk,2.46,3.34,3.08,Wygrali gospodarze
736,17 Lut 2023,20:30,22/23,Widzew Łódź,1,0,Śląsk Wrocław,1.77,3.76,4.96,Wygrali gospodarze
737,17 Lut 2023,18:00,22/23,Cracovia,2,1,Stal Mielec,1.88,3.45,4.73,Wygrali gospodarze
738,13 Lut 2023,19:00,22/23,Warta Poznań,1,1,Miedź Legnica,2.06,3.25,4.17,Remis
739,12 Lut 2023,17:30,22/23,Legia Warszawa,2,2,Cracovia,1.88,3.46,4.7,Remis
740,12 Lut 2023,15:00,22/23,Górnik Zabrze,0,0,Radomiak Radom,2.28,3.28,3.38,Remis
741,12 Lut 2023,12:30,22/23,Zagłębie Lubin,0,2,Piast Gliwice,2.74,3.21,2.78,Wygrali goście
742,11 Lut 2023,20:00,22/23,Jagiellonia Białystok,2,0,Pogoń Szczecin,3.49,3.63,2.14,Wygrali gospodarze
743,11 Lut 2023,17:30,22/23,Wisła Płock,0,1,Lech Poznań,4.29,3.66,1.89,Wygrali goście
744,11 Lut 2023,15:00,22/23,Śląsk Wrocław,1,1,Korona Kielce,1.97,3.56,4.08,Remis
745,10 Lut 2023,20:30,22/23,Lechia Gdańsk,0,0,Widzew Łódź,2.77,3.31,2.72,Remis
746,10 Lut 2023,18:00,22/23,Stal Mielec,0,0,Raków Częstochowa,7.06,4.31,1.52,Remis
747,06 Lut 2023,19:00,22/23,Korona Kielce,2,1,Cracovia,3.67,3.22,2.23,Wygrali gospodarze
748,05 Lut 2023,17:30,22/23,Pogoń Szczecin,0,2,Śląsk Wrocław,1.76,3.77,5.1,Wygrali goście
749,05 Lut 2023,15:00,22/23,Lech Poznań,1,0,Miedź Legnica,1.44,4.82,8.04,Wygrali gospodarze
750,05 Lut 2023,12:30,22/23,Radomiak Radom,1,0,Stal Mielec,2.08,3.45,3.81,Wygrali gospodarze
751,04 Lut 2023,20:00,22/23,Zagłębie Lubin,1,2,Legia Warszawa,3.37,3.5,2.22,Wygrali goście
752,04 Lut 2023,17:30,22/23,Górnik Zabrze,1,1,Lechia Gdańsk,2.02,3.63,3.8,Remis
753,04 Lut 2023,15:00,22/23,Raków Częstochowa,1,0,Piast Gliwice,1.5,4.3,7.84,Wygrali gospodarze
754,03 Lut 2023,20:30,22/23,Widzew Łódź,1,1,Jagiellonia Białystok,1.86,3.78,4.35,Remis
755,01 Lut 2023,19:00,22/23,Miedź Legnica,2,2,Lech Poznań,4.45,3.65,1.88,Remis
756,30 Sty 2023,19:00,22/23,Cracovia,2,0,Górnik Zabrze,2.47,3.22,3.21,Wygrali gospodarze
757,29 Sty 2023,17:30,22/23,Lechia Gdańsk,1,0,Wisła Płock,2.46,3.43,2.99,Wygrali gospodarze
758,29 Sty 2023,15:00,22/23,Legia Warszawa,3,2,Korona Kielce,1.46,4.75,7.26,Wygrali gospodarze
759,29 Sty 2023,12:30,22/23,Piast Gliwice,1,1,Jagiellonia Białystok,2.16,3.35,3.69,Remis
760,28 Sty 2023,20:00,22/23,Śląsk Wrocław,0,3,Zagłębie Lubin,2.27,3.38,3.46,Wygrali goście
761,28 Sty 2023,17:30,22/23,Widzew Łódź,3,3,Pogoń Szczecin,2.65,3.37,2.8,Remis
762,28 Sty 2023,15:00,22/23,Warta Poznań,1,1,Raków Częstochowa,5.6,3.49,1.78,Remis
763,27 Sty 2023,20:30,22/23,Stal Mielec,0,0,Lech Poznań,5.69,3.98,1.64,Remis
764,27 Sty 2023,18:00,22/23,Miedź Legnica,0,0,Radomiak Radom,2.58,3.21,3.01,Remis
765,18 Lis 2022,20:30,22/23,Lechia Gdańsk,2,1,Górnik Zabrze,2.69,3.6,2.61,Wygrali gospodarze
766,13 Lis 2022,17:30,22/23,Śląsk Wrocław,0,0,Legia Warszawa,3.22,3.32,2.32,Remis
767,13 Lis 2022,15:00,22/23,Lechia Gdańsk,1,3,Piast Gliwice,2.35,3.36,3.16,Wygrali goście
768,13 Lis 2022,12:30,22/23,Radomiak Radom,1,2,Pogoń Szczecin,3,3.35,2.47,Wygrali goście
769,12 Lis 2022,20:00,22/23,Zagłębie Lubin,1,2,Raków Częstochowa,6.71,4.44,1.51,Wygrali goście
770,12 Lis 2022,17:30,22/23,Jagiellonia Białystok,1,2,Lech Poznań,3.7,3.62,2.03,Wygrali goście
771,12 Lis 2022,15:00,22/23,Górnik Zabrze,0,3,Miedź Legnica,1.71,3.88,5.07,Wygrali goście
772,12 Lis 2022,12:30,22/23,Korona Kielce,0,1,Widzew Łódź,3.12,3.41,2.36,Wygrali goście
773,11 Lis 2022,20:30,22/23,Wisła Płock,1,0,Cracovia,2.47,3.3,3.04,Wygrali gospodarze
774,11 Lis 2022,18:00,22/23,Warta Poznań,1,1,Stal Mielec,1.96,3.43,4.17,Remis
775,06 Lis 2022,17:30,22/23,Lech Poznań,3,2,Korona Kielce,1.42,4.86,7.52,Wygrali gospodarze
776,06 Lis 2022,15:00,22/23,Widzew Łódź,1,3,Radomiak Radom,2.5,3.33,2.97,Wygrali goście
777,06 Lis 2022,12:30,22/23,Miedź Legnica,1,0,Śląsk Wrocław,2.83,3.38,2.55,Wygrali gospodarze
778,05 Lis 2022,20:00,22/23,Raków Częstochowa,7,1,Wisła Płock,1.39,5.03,8.22,Wygrali gospodarze
779,05 Lis 2022,17:30,22/23,Pogoń Szczecin,1,4,Górnik Zabrze,1.85,3.84,4.21,Wygrali goście
780,05 Lis 2022,15:00,22/23,Cracovia,1,0,Jagiellonia Białystok,1.84,3.68,4.58,Wygrali gospodarze
781,05 Lis 2022,12:30,22/23,Piast Gliwice,0,2,Warta Poznań,2.59,2.98,3.14,Wygrali goście
782,04 Lis 2022,20:30,22/23,Legia Warszawa,2,1,Lechia Gdańsk,1.68,4.04,5.14,Wygrali gospodarze
783,04 Lis 2022,18:00,22/23,Stal Mielec,3,0,Zagłębie Lubin,2.42,3.43,3.16,Wygrali gospodarze
784,31 Paź 2022,19:00,22/23,Radomiak Radom,2,3,Warta Poznań,2.32,3.1,3.54,Wygrali goście
785,30 Paź 2022,17:30,22/23,Lech Poznań,1,2,Raków Częstochowa,3.57,3.28,2.21,Wygrali goście
786,30 Paź 2022,15:00,22/23,Lechia Gdańsk,1,0,Stal Mielec,1.81,3.85,4.46,Wygrali gospodarze
787,30 Paź 2022,12:30,22/23,Zagłębie Lubin,0,2,Cracovia,2.78,3.28,2.69,Wygrali goście
788,29 Paź 2022,20:00,22/23,Wisła Płock,1,2,Śląsk Wrocław,2,3.53,3.84,Wygrali goście
789,29 Paź 2022,17:30,22/23,Jagiellonia Białystok,2,5,Legia Warszawa,3.07,3.42,2.38,Wygrali goście
790,29 Paź 2022,15:00,22/23,Korona Kielce,1,1,Piast Gliwice,3.19,3.27,2.36,Remis
791,28 Paź 2022,20:30,22/23,Górnik Zabrze,3,0,Widzew Łódź,2.14,3.55,3.51,Wygrali gospodarze
792,28 Paź 2022,18:00,22/23,Miedź Legnica,2,4,Pogoń Szczecin,3.53,3.49,2.12,Wygrali goście
793,24 Paź 2022,20:30,22/23,Zagłębie Lubin,0,3,Lechia Gdańsk,2.21,3.61,3.26,Wygrali goście
794,24 Paź 2022,18:00,22/23,Piast Gliwice,1,2,Radomiak Radom,2.75,3.2,2.79,Wygrali goście
795,23 Paź 2022,17:30,22/23,Cracovia,0,0,Lech Poznań,3.5,3.37,2.2,Remis
796,23 Paź 2022,15:00,22/23,Śląsk Wrocław,2,2,Jagiellonia Białystok,2.41,3.48,2.96,Remis
797,23 Paź 2022,12:30,22/23,Warta Poznań,0,0,Górnik Zabrze,2.42,3.36,3.05,Remis
798,22 Paź 2022,20:00,22/23,Raków Częstochowa,1,0,Korona Kielce,1.23,6.64,12.82,Wygrali gospodarze
799,22 Paź 2022,17:30,22/23,Legia Warszawa,1,1,Pogoń Szczecin,2.2,3.43,3.41,Remis
800,22 Paź 2022,15:00,22/23,Stal Mielec,1,1,Wisła Płock,3.19,3.62,2.21,Remis
801,21 Paź 2022,20:30,22/23,Widzew Łódź,1,0,Miedź Legnica,2.05,3.52,3.77,Wygrali gospodarze
802,16 Paź 2022,18:30,22/23,Górnik Zabrze,1,2,Lech Poznań,3.04,3.48,2.36,Wygrali goście
803,16 Paź 2022,15:00,22/23,Widzew Łódź,3,0,Zagłębie Lubin,2.49,3.45,2.9,Wygrali gospodarze
804,16 Paź 2022,12:30,22/23,Miedź Legnica,1,1,Cracovia,3.1,3.32,2.38,Remis
805,15 Paź 2022,20:00,22/23,Pogoń Szczecin,1,1,Piast Gliwice,1.84,3.72,4.45,Remis
806,15 Paź 2022,17:30,22/23,Warta Poznań,2,0,Jagiellonia Białystok,2.35,3.21,3.34,Wygrali gospodarze
807,15 Paź 2022,15:00,22/23,Lechia Gdańsk,0,3,Raków Częstochowa,5.31,4.03,1.65,Wygrali goście
808,15 Paź 2022,12:30,22/23,Radomiak Radom,2,0,Śląsk Wrocław,2.25,3.19,3.46,Wygrali gospodarze
809,14 Paź 2022,20:30,22/23,Wisła Płock,2,1,Legia Warszawa,2.97,3.41,2.47,Wygrali gospodarze
810,14 Paź 2022,18:00,22/23,Korona Kielce,0,2,Stal Mielec,2.31,3.47,3.14,Wygrali goście
811,10 Paź 2022,20:30,22/23,Piast Gliwice,1,2,Widzew Łódź,2.34,3.28,3.24,Wygrali goście
812,10 Paź 2022,18:00,22/23,Raków Częstochowa,1,0,Miedź Legnica,1.24,6.47,13.82,Wygrali gospodarze
813,09 Paź 2022,17:30,22/23,Lech Poznań,1,0,Radomiak Radom,1.87,3.57,4.39,Wygrali gospodarze
814,09 Paź 2022,15:00,22/23,Zagłębie Lubin,1,1,Korona Kielce,1.73,3.89,4.82,Remis
815,08 Paź 2022,20:00,22/23,Cracovia,0,1,Lechia Gdańsk,1.92,3.53,4.06,Wygrali goście
816,08 Paź 2022,17:30,22/23,Legia Warszawa,1,0,Warta Poznań,1.91,3.48,4.38,Wygrali gospodarze
817,08 Paź 2022,15:00,22/23,Śląsk Wrocław,4,1,Górnik Zabrze,2.75,3.46,2.59,Wygrali gospodarze
818,07 Paź 2022,20:30,22/23,Jagiellonia Białystok,1,1,Wisła Płock,2.23,3.6,3.1,Remis
819,07 Paź 2022,18:00,22/23,Stal Mielec,4,2,Pogoń Szczecin,3.93,3.56,1.98,Wygrali gospodarze
820,06 Paź 2022,20:45,22/23,Piast Gliwice,0,1,Raków Częstochowa,5.79,3.7,1.67,Wygrali goście
821,03 Paź 2022,19:00,22/23,Śląsk Wrocław,0,2,Warta Poznań,2.49,3.14,3.16,Wygrali goście
822,02 Paź 2022,17:30,22/23,Widzew Łódź,0,0,Raków Częstochowa,5.73,4.16,1.6,Remis
823,02 Paź 2022,15:00,22/23,Jagiellonia Białystok,4,1,Korona Kielce,1.75,3.85,4.72,Wygrali gospodarze
824,02 Paź 2022,12:30,22/23,Miedź Legnica,0,2,Stal Mielec,2.04,3.57,3.65,Wygrali goście
825,01 Paź 2022,20:30,22/23,Pogoń Szczecin,2,1,Lechia Gdańsk,1.7,3.95,4.98,Wygrali gospodarze
826,01 Paź 2022,17:30,22/23,Lech Poznań,0,0,Legia Warszawa,1.85,3.68,4.38,Remis
827,01 Paź 2022,15:00,22/23,Górnik Zabrze,2,3,Zagłębie Lubin,2.19,3.53,3.28,Wygrali goście
828,30 Wrz 2022,20:30,22/23,Wisła Płock,1,0,Piast Gliwice,2.44,3.38,3.02,Wygrali gospodarze
829,30 Wrz 2022,18:00,22/23,Radomiak Radom,0,2,Cracovia,2.38,3.22,3.24,Wygrali goście
830,18 Wrz 2022,17:30,22/23,Warta Poznań,0,1,Lech Poznań,4.12,3.45,1.97,Wygrali goście
831,18 Wrz 2022,15:00,22/23,Zagłębie Lubin,2,1,Wisła Płock,2.17,3.61,3.27,Wygrali gospodarze
832,18 Wrz 2022,12:30,22/23,Korona Kielce,1,2,Górnik Zabrze,3.24,3.4,2.26,Wygrali goście
833,17 Wrz 2022,20:00,22/23,Cracovia,1,1,Pogoń Szczecin,2.71,3.16,2.84,Remis
834,17 Wrz 2022,17:30,22/23,Raków Częstochowa,3,0,Radomiak Radom,1.53,4.28,6.58,Wygrali gospodarze
835,17 Wrz 2022,15:00,22/23,Lechia Gdańsk,2,2,Jagiellonia Białystok,2.62,3.55,2.67,Remis
836,17 Wrz 2022,12:30,22/23,Stal Mielec,0,3,Widzew Łódź,2.68,3.43,2.64,Wygrali goście
837,16 Wrz 2022,20:30,22/23,Legia Warszawa,3,2,Miedź Legnica,1.67,4.01,5.18,Wygrali gospodarze
838,16 Wrz 2022,18:00,22/23,Piast Gliwice,1,1,Śląsk Wrocław,2.08,3.28,3.92,Remis
839,12 Wrz 2022,19:00,22/23,Jagiellonia Białystok,4,0,Stal Mielec,1.8,3.94,4.32,Wygrali gospodarze
840,11 Wrz 2022,17:30,22/23,Raków Częstochowa,4,0,Legia Warszawa,1.66,3.99,5.41,Wygrali gospodarze
841,11 Wrz 2022,15:00,22/23,Pogoń Szczecin,2,2,Lech Poznań,2.54,3.43,2.82,Remis
842,11 Wrz 2022,12:30,22/23,Miedź Legnica,2,2,Korona Kielce,2.09,3.43,3.63,Remis
843,10 Wrz 2022,20:00,22/23,Górnik Zabrze,3,3,Piast Gliwice,2.66,3.26,2.82,Remis
844,10 Wrz 2022,17:30,22/23,Radomiak Radom,2,0,Wisła Płock,2.19,3.48,3.33,Wygrali gospodarze
845,10 Wrz 2022,15:00,22/23,Śląsk Wrocław,2,1,Lechia Gdańsk,2.34,3.4,3.1,Wygrali gospodarze
846,09 Wrz 2022,20:30,22/23,Widzew Łódź,2,0,Cracovia,3.08,3.28,2.46,Wygrali gospodarze
847,09 Wrz 2022,18:00,22/23,Warta Poznań,2,2,Zagłębie Lubin,2.6,3.19,2.92,Remis
848,05 Wrz 2022,20:30,22/23,Wisła Płock,1,1,Górnik Zabrze,2.11,3.64,3.43,Remis
849,05 Wrz 2022,18:00,22/23,Piast Gliwice,2,1,Miedź Legnica,1.87,3.47,4.6,Wygrali gospodarze
850,04 Wrz 2022,17:30,22/23,Lech Poznań,2,0,Widzew Łódź,1.66,4.05,5.23,Wygrali gospodarze
851,04 Wrz 2022,15:00,22/23,Korona Kielce,1,2,Pogoń Szczecin,4.13,3.52,1.95,Wygrali goście
852,04 Wrz 2022,12:30,22/23,Zagłębie Lubin,1,1,Jagiellonia Białystok,2.23,3.47,3.34,Remis
853,03 Wrz 2022,20:00,22/23,Cracovia,3,0,Raków Częstochowa,3.77,3.23,2.15,Wygrali gospodarze
854,03 Wrz 2022,17:30,22/23,Lechia Gdańsk,0,0,Warta Poznań,2.51,3.15,3.05,Remis
855,03 Wrz 2022,15:00,22/23,Stal Mielec,2,0,Śląsk Wrocław,2.39,3.34,3.11,Wygrali gospodarze
856,02 Wrz 2022,20:30,22/23,Legia Warszawa,1,0,Radomiak Radom,2.06,3.4,3.9,Wygrali gospodarze
857,31 Sie 2022,20:30,22/23,Lechia Gdańsk,0,3,Lech Poznań,3.28,3.5,2.2,Wygrali goście
858,31 Sie 2022,18:00,22/23,Raków Częstochowa,1,0,Pogoń Szczecin,1.84,3.63,4.42,Wygrali gospodarze
859,28 Sie 2022,17:30,22/23,Lech Poznań,1,0,Piast Gliwice,2.07,3.35,3.7,Wygrali gospodarze
860,28 Sie 2022,15:00,22/23,Śląsk Wrocław,1,4,Raków Częstochowa,3.55,3.45,2.12,Wygrali goście
861,28 Sie 2022,12:30,22/23,Cracovia,0,2,Warta Poznań,2.1,3.23,3.89,Wygrali goście
862,27 Sie 2022,20:00,22/23,Widzew Łódź,2,1,Wisła Płock,2.46,3.52,2.84,Wygrali gospodarze
863,27 Sie 2022,17:30,22/23,Pogoń Szczecin,3,0,Zagłębie Lubin,1.76,3.84,4.65,Wygrali gospodarze
864,27 Sie 2022,15:00,22/23,Miedź Legnica,2,1,Lechia Gdańsk,2.29,3.47,3.17,Wygrali gospodarze
865,27 Sie 2022,12:30,22/23,Radomiak Radom,0,2,Korona Kielce,1.71,3.75,5.2,Wygrali goście
866,26 Sie 2022,20:30,22/23,Stal Mielec,0,1,Legia Warszawa,3.99,3.62,1.93,Wygrali goście
867,26 Sie 2022,18:00,22/23,Górnik Zabrze,1,1,Jagiellonia Białystok,2.21,3.48,3.27,Remis
868,21 Sie 2022,17:30,22/23,Piast Gliwice,4,0,Stal Mielec,1.77,3.64,4.92,Wygrali gospodarze
869,21 Sie 2022,15:00,22/23,Zagłębie Lubin,0,1,Radomiak Radom,2.51,3.28,2.97,Wygrali goście
870,20 Sie 2022,20:00,22/23,Warta Poznań,0,1,Widzew Łódź,2.41,3.19,3.14,Wygrali goście
871,20 Sie 2022,17:30,22/23,Śląsk Wrocław,1,1,Cracovia,2.73,3.21,2.76,Remis
872,20 Sie 2022,15:00,22/23,Wisła Płock,2,1,Korona Kielce,1.62,4.09,5.56,Wygrali gospodarze
873,19 Sie 2022,20:30,22/23,Legia Warszawa,2,2,Górnik Zabrze,1.77,3.85,4.55,Remis
874,19 Sie 2022,18:00,22/23,Jagiellonia Białystok,2,1,Miedź Legnica,2.06,3.55,3.61,Wygrali gospodarze
875,15 Sie 2022,19:00,22/23,Korona Kielce,0,1,Warta Poznań,3.03,3.16,2.59,Wygrali goście
876,14 Sie 2022,20:00,22/23,Lech Poznań,0,1,Śląsk Wrocław,1.76,3.85,4.65,Wygrali goście
877,14 Sie 2022,17:30,22/23,Raków Częstochowa,2,2,Jagiellonia Białystok,1.67,4,5.31,Remis
878,14 Sie 2022,15:00,22/23,Radomiak Radom,4,1,Lechia Gdańsk,1.99,3.63,3.95,Wygrali gospodarze
879,13 Sie 2022,20:00,22/23,Pogoń Szczecin,2,2,Wisła Płock,1.98,3.72,3.8,Remis
880,13 Sie 2022,17:30,22/23,Górnik Zabrze,1,3,Stal Mielec,1.75,4.03,4.61,Wygrali goście
881,13 Sie 2022,15:00,22/23,Cracovia,0,1,Piast Gliwice,2.27,3.12,3.57,Wygrali goście
882,12 Sie 2022,20:30,22/23,Widzew Łódź,1,2,Legia Warszawa,3.24,3.5,2.25,Wygrali goście
883,12 Sie 2022,18:00,22/23,Miedź Legnica,0,1,Zagłębie Lubin,3.04,3.29,2.49,Wygrali goście
884,08 Sie 2022,19:00,22/23,Wisła Płock,4,1,Miedź Legnica,1.75,3.82,4.88,Wygrali gospodarze
885,07 Sie 2022,20:00,22/23,Górnik Zabrze,1,0,Raków Częstochowa,2.99,3.4,2.43,Wygrali gospodarze
886,07 Sie 2022,17:30,22/23,Zagłębie Lubin,1,1,Lech Poznań,3.18,3.55,2.26,Remis
887,07 Sie 2022,15:00,22/23,Warta Poznań,1,2,Pogoń Szczecin,3.82,3.31,2.11,Wygrali goście
888,06 Sie 2022,20:00,22/23,Śląsk Wrocław,0,0,Widzew Łódź,2.21,3.56,3.36,Remis
889,06 Sie 2022,17:30,22/23,Jagiellonia Białystok,1,2,Radomiak Radom,2.26,3.35,3.32,Wygrali goście
890,06 Sie 2022,15:00,22/23,Lechia Gdańsk,0,1,Korona Kielce,1.62,4.2,5.47,Wygrali goście
891,05 Sie 2022,20:30,22/23,Legia Warszawa,2,0,Piast Gliwice,2.1,3.39,3.81,Wygrali gospodarze
892,05 Sie 2022,18:00,22/23,Stal Mielec,2,0,Cracovia,3.87,3.49,2.05,Wygrali gospodarze
893,01 Sie 2022,19:00,22/23,Korona Kielce,3,1,Śląsk Wrocław,3.28,3.33,2.33,Wygrali gospodarze
894,31 Lip 2022,20:00,22/23,Widzew Łódź,2,3,Lechia Gdańsk,2.63,3.46,2.75,Wygrali goście
895,31 Lip 2022,17:30,22/23,Lech Poznań,1,3,Wisła Płock,1.8,3.92,4.38,Wygrali goście
896,31 Lip 2022,17:30,22/23,Raków Częstochowa,3,2,Stal Mielec,1.33,5.49,9.96,Wygrali gospodarze
897,31 Lip 2022,15:00,22/23,Pogoń Szczecin,1,0,Jagiellonia Białystok,1.59,4.22,5.77,Wygrali gospodarze
898,30 Lip 2022,20:00,22/23,Miedź Legnica,1,2,Warta Poznań,2.5,3.13,3.16,Wygrali goście
