,Drużyna,Sezon,Punkty,Zwycięstwa,Remisy,Porażki,Gole_zdobyte,Gole_stracone,Avg._posiadanie,Avg.strzały,Avg.strzały_celne,Avg.strzały_niecelne,Avg.strzały_zablokowane,Avg.rzuty_rożne,Avg.spalone,Avg.obrony_bramkarza,Avg.faule,Avg.Żółte_kartki,Avg.Czerwone_kartki,%_SFG
0,Jagiellonia,23/24,63,18,9,7,77,45,57%,"12,88","4,88","4,76","3,24","5,06","2,06","2,50","11,59","2,09","0,06","32,47%"
1,Śląsk Wrocław,23/24,63,18,9,7,50,31,45%,"11,65","4,71","3,97","2,97","3,71","1,24","2,50","11,41","2,21","0,12","36,00%"
2,Legia Warszawa,23/24,59,16,11,7,51,39,57%,"13,50","4,41","5,21","3,88","6,00","1,68","1,32","13,18","2,47","0,18","25,49%"
3,Pogoń Szczecin,23/24,55,16,7,11,59,38,56%,"14,59","4,91","5,44","4,24","6,24","1,29","2,65","10,85","1,94","0,06","27,12%"
4,Lech Poznań,23/24,53,14,11,9,47,41,59%,"11,12","4,29","3,91","2,91","5,62","1,82","3,15","13,03","2,18","0,09","25,53%"
5,Górnik Zabrze,23/24,53,15,8,11,45,41,50%,"11,85","4,06","4,29","3,50","4,88","0,79","2,88","13,21","2,09","0,21","26,67%"
6,Raków Częstochowa,23/24,52,14,10,10,54,39,56%,"13,41","4,94","5,12","3,35","6,00","1,68","2,26","13,50","2,12","0,09","22,22%"
7,Zagłębie Lubin,23/24,47,13,8,13,43,50,50%,"13,44","4,68","5,09","3,68","5,29","1,59","3,29","11,06","1,79","0,18","30,23%"
8,Widzew Łódź,23/24,46,13,7,14,45,46,53%,"12,15","4,12","4,71","3,32","5,68","1,82","3,12","11,65","2,29","0,09","33,33%"
9,Piast Gliwice,23/24,43,9,16,9,38,35,50%,"11,85","4,00","4,47","3,38","5,24","1,47","2,18","12,97","2,15","0,09","55,26%"
10,Stal Mielec,23/24,43,11,10,13,42,48,48%,"9,12","3,50","3,50","2,12","3,62","1,12","3,38","11,74","1,85","0,12","30,95%"
